,joints,markers
18,[ 1.74131973 -0.57581521  1.0876095   0.24756067 -1.2991149   2.617755    1.00620219 -2.5441913  -0.67690414 -0.03339256 -0.53660739  0.26979925  0.75362408  0.88679277  1.5456378  -0.69076933  0.90532303  0.          0.        ],"[[-2.63073258  3.05787909  1.17589694]
 [-3.06252421  1.37223039  2.09349495]]"
19,[-2.04322337 -0.56476181  0.69826923  1.16476181  0.15245704  1.12540268 -0.28132327 -2.46147949  0.25948231  0.07183433 -0.1877731  -0.73401997  0.62768497  1.30911962 -1.10272445  1.04895984  0.66767712  0.          0.        ],"[[-3.1952235   1.10653714  2.07400463]
 [-1.93944693  2.78348323  1.71868178]]"
20,[-1.35239555 -0.92685383  1.59508399  2.20042271 -0.79047601  0.57129633  1.33636318 -2.90505134 -0.47433033  1.09878678 -1.12688975 -0.22554952 -2.6227748  -0.0939639   2.07316217  1.33387123  1.65988901  0.          0.        ],"[[-2.48610295  1.35731656  2.1367671 ]
 [-3.01061118  2.85645129  1.78194481]]"
21,[-1.19899698 -0.91373522  1.14544166  0.98489976 -0.9273666  -2.32194734 -1.11652681  1.86731917 -0.52450021  1.14002414 -1.89380871 -0.591109   -1.31414966  0.26720579  2.39504756  0.83279826  0.50255594  0.          0.        ],"[[-1.82042254  1.4545519   1.8627932 ]
 [-3.47776484  2.32318234  1.96343105]]"
22,[-1.9471038   0.00714214  0.05651677  2.512708    1.30545767 -2.88681566 -1.30203556  0.80996783  0.21400398 -0.08610311 -0.87087705  1.04946497 -2.5105355  -0.18868692 -1.17790623 -0.72182753  0.73652662  0.          0.        ],"[[-3.23625899  1.99879327  1.57913065]
 [-1.72260404  1.95703716  2.26073743]]"
23,[ 1.30351772 -0.63904901  1.81150957  0.31944021 -1.47506834 -2.24026634 -0.66176146  1.59777353  0.42541567 -0.06170975 -1.0806822  -0.32204433  1.78288579 -0.66461987 -0.68938445 -0.27652436 -0.31691525  0.          0.        ],"[[-2.85222234  3.10758862  0.99880103]
 [-2.5519049   0.97277431  1.56151608]]"
24,[ 1.43929569 -0.35962066  1.35726722 -2.66205168 -0.98895657 -0.10072585 -0.50052479 -1.43489311 -0.28706173  1.41757608 -1.02609032  1.66268755 -0.8645455   0.26235385  2.26719184  1.05654125  0.79575805  0.          0.        ],"[[-2.82774831  2.32439441  2.3071556 ]
 [-3.60170821  1.93488836  1.81403606]]"
25,[ 3.26488637 -1.37047931  1.93353794  0.68846465 -0.91526591  0.81959012  0.70805662 -2.20939214  0.73698839  0.63605183  1.75209108 -0.80284428  0.70442297 -1.03818139 -1.98633125  0.69229542 -0.28182054  0.          0.        ],"[[-3.54782918  1.57501789  1.5167129 ]
 [-1.80758653  1.3963612   1.39717167]]"
26,[-0.67791787 -0.45861029  1.04960783  0.69286511  1.33759742 -0.6253549  -0.19364684 -1.76477076  0.51771229  0.48715085 -1.3631195  -1.09984978 -2.64743477 -0.95269067 -2.32026509  0.34205279 -0.3184516   0.          0.        ],"[[-2.94562134  1.64181426  2.19193848]
 [-3.54945489  2.25812155  1.42517491]]"
27,[ 1.49585861 -0.1179822   0.25209668 -1.16053513  1.74576054  1.5353854  -0.43798929 -0.01613946  0.9247076   0.69348152 -1.13345853 -0.56959264  2.94512094  0.8195556  -2.89909493  0.45194598  0.83707367  0.          0.        ],"[[-3.38819328  2.42077715  1.97990077]
 [-2.16020535  1.32504047  2.12467071]]"
28,[ 0.2514643  -0.57719259  1.5588462  -1.09649055 -0.96047116 -1.55608355 -1.88448786  1.04301676  0.91074806  2.35330739 -1.45438962  0.03806869 -1.2764876  -0.81492544  1.86276633  0.62882359  1.51219819  0.          0.        ],"[[-1.78180629  2.15789915  1.68165473]
 [-3.54676134  2.19271646  1.93541433]]"
29,[-0.42932385 -0.41352325  1.47557585  0.04880396 -0.53319357  2.4836685   1.82375845 -0.52406394 -0.52612892  2.23830511 -2.63784099 -0.49309721 -2.9060958  -0.91172571 -1.09350301 -0.07804062 -0.03201806  0.          0.        ],"[[-1.88917169  1.71529271  1.77063474]
 [-3.42187476  2.12668748  1.87532218]]"
30,[ 0.26559993 -0.83673254  2.34096294 -0.3492014   0.63688863 -0.11116908 -0.04346475  1.94123169 -0.21596188  1.56988486  2.45416433  1.72891252 -2.12721783  1.16561067 -0.74486646 -0.2364134  -0.51719406  0.          0.        ],"[[-2.04695057  2.6701419   1.96933708]
 [-3.38152823  1.73756615  0.9629839 ]]"
31,[ 3.13028046 -0.46086083  1.44100044  2.17701443  0.93404596 -1.52206069  0.13603971 -0.50312175  0.03095068  0.09614694 -0.86528943 -0.19557322  1.0465366   1.10492737  0.02958337  0.90038587  0.66474005  0.          0.        ],"[[-3.54511348  2.50921262  1.41604841]
 [-1.58017331  1.53691137  1.79470375]]"
32,[ 2.14100337 -0.10735169  0.67759652  1.11603549  0.78871035  1.60987067 -1.09060011 -2.33190734  0.28816726  0.40541172 -2.09920529 -0.57366635 -2.62086018  1.4185343  -0.40591059  0.49794978  1.9493407   0.          0.        ],"[[-3.12673576  2.8529826   1.99490098]
 [-2.47304358  1.64542566  2.24708627]]"
33,[ 2.77788207 -1.5280426   2.35085231 -2.285018    0.4472721   2.37575329 -0.4257818   0.32026411 -0.48347896  0.25229059 -0.366219   -1.15800679 -2.0661991  -1.12129263  1.86009594  0.43944227  0.59758959  0.          0.        ],"[[-3.72726065  2.32723265  1.46127151]
 [-1.53555173  1.61611874  1.17205017]]"
34,[-1.93405836 -1.38779956  1.98953692 -1.6766111  -0.95298967 -0.80682086 -1.54830878 -2.30521491 -0.30359984  0.76687273  1.18351898 -0.75567717 -1.29384212  1.59009771  0.51481029  1.27294993 -0.24181259  0.          0.        ],"[[-2.78279409  1.51764548  1.93121096]
 [-1.78700733  2.17549391  1.27730986]]"
