,joints,markers
73,[-2.05786539 -0.67865074  2.21401266  0.89205286 -0.32564126 -1.21687644 -0.50556772 -0.32510937  1.03442198  0.5249576  -1.51066888 -0.07798559  2.86995182  0.46447965  0.34251176 -0.69145678  1.45500901  0.          0.        ],"[[-3.00128182  1.15073773  1.66406101]
 [-1.87422303  2.55879726  1.88662903]]"
74,[ 0.14535495 -0.49701813  0.99951969  1.35047013  0.48476097 -0.96661472  1.50454351  0.16725947  0.65394264  0.84401435 -0.27334534  0.30738085 -2.36138043  1.43926756  2.54126163  0.08020898 -0.16183239  0.          0.        ],"[[-1.78046425  2.4242769   2.03060601]
 [-3.2489631   1.53118971  1.8163618 ]]"
75,[-1.29749413 -1.00831743  1.37767198  0.95079221 -0.1413715   0.10498281 -0.22871676 -0.79181027 -0.2983308   0.0292697   2.58396952 -0.36065687  2.76338208 -0.24427707  2.22819552 -0.18602407  1.34615731  0.          0.        ],"[[-2.26171859  0.87546149  1.84116714]
 [-2.60510336  2.841159    2.15240419]]"
76,[-0.7557885  -0.25327335  0.98670052  0.93099985  0.69299963  1.96018979  0.36854474  2.93881089 -0.56261276  1.04071952 -0.8545282   0.56414345 -2.43468005 -0.20810558  2.24931924  1.08952272  1.59986391  0.          0.        ],"[[-2.34738265  1.19867001  2.06666414]
 [-2.7881551   2.89278974  2.12838256]]"
77,[ 3.12264303 -0.63686325  0.96296062  2.58070197  0.53806439 -0.25568634  1.56410955 -0.84108489 -0.43900904  2.27137533 -0.0852782   0.46920051  1.01116121 -0.79505611 -1.20666126  1.35338799 -0.07813602  0.          0.        ],"[[-3.31565105  2.39922589  1.85966818]
 [-1.81209386  2.28642002  2.07151037]]"
78,[ 0.44663742 -0.88034141  2.29914737 -1.79719396 -0.35788009  0.51931091 -0.13234015  2.9203434  -0.54198445  1.85752382 -1.37754477  0.04299573 -1.75637044  0.69082021  2.22512904  0.74704345  0.38673461  0.          0.        ],"[[-1.7101173   2.43160102  1.7603261 ]
 [-3.23588778  1.46857776  1.73811275]]"
79,[-0.7907408  -0.9616731   1.42767267  1.26879331 -1.10598064  1.79582661  0.76013039 -2.77666556  0.21660738  0.47412548 -0.01204284 -0.53736595 -0.69315329 -1.71756694  0.89001129 -0.65623461  1.26573023  0.          0.        ],"[[-1.5204545   1.5492766   1.57600594]
 [-3.3932448   2.22725384  1.74373863]]"
80,[ 2.6042725  -1.34393868  2.07398782  0.31400514 -1.5735478  -1.36764313 -0.32370902  0.78800672 -0.6492609  -0.56965202 -2.18971459 -1.34064312 -0.03982357  0.00443637 -2.30430609 -0.67631217  2.33151192  0.          0.        ],"[[-3.48299287  2.13699694  0.74970378]
 [-2.03665012  2.34069539  1.87256135]]"
81,[-0.90483771 -1.24764986  1.87946935  1.76866609 -0.56178106  2.81176367 -1.5661347   1.15184341  0.44206497  2.15117274 -1.21591053 -1.27707192  0.07596618 -1.56258686  0.65338865 -0.35901519  1.25711234  0.          0.        ],"[[-2.0837846   1.77380043  1.96343285]
 [-3.19273888  1.67672471  1.60074351]]"
82,[ 4.83183604e-01 -1.24815439e+00  2.03295524e+00 -2.91403178e+00 -9.70598285e-01  1.64104833e+00  2.68668725e-01  6.49440341e-01  1.89304544e-03  1.06912087e+00 -1.00025542e-01 -1.95534485e+00 -7.54816674e-02  1.41164243e+00 -1.07376814e+00  1.17445329e+00 -1.49991015e-01  0.00000000e+00  0.00000000e+00],"[[-1.92269643  2.05739826  2.18452556]
 [-3.17536448  2.14826305  0.86328436]]"
83,[ 0.00788934 -1.50883452  1.84986983  2.50921355 -1.10302277  0.11768057  0.51731601  2.10186119  0.06766528  1.52808118  0.0439506   0.76034839  1.07612329  0.8176066  -0.6634743   0.46350141  1.77211104  0.          0.        ],"[[-2.28388763  1.93512128  2.15411054]
 [-2.9077787   2.08093423  2.11817623]]"
84,[-0.61460212 -0.89772079  1.92335191 -0.86732022  0.96274093  2.63159679  0.97705295 -1.77370342  0.72758773  2.03439303  0.4944287   0.38559611  0.56000203  1.42433736 -1.19285496  0.34935268  1.93595151  0.          0.        ],"[[-1.9825455   2.22009707  2.05320611]
 [-2.78241648  2.48829287  2.04672515]]"
85,[ 1.52452599 -0.78260779  1.46861785  2.10512478  0.35510337  2.76282381 -1.47555983  2.38099825 -0.18077311  1.80277311 -0.84406507 -1.31543872 -2.52900103  1.35073878 -2.96197699 -0.53066207  0.08435684  0.          0.        ],"[[-2.43525287  2.70043719  2.04586615]
 [-1.84828418  1.75528655  1.34418239]]"
86,[-0.33252653 -0.5038962   1.97340832  2.25475459  0.93990127 -1.18054876  1.49545458  0.60084742 -0.45535835  1.26905276 -2.71082533 -1.07733689 -2.10989817  0.56242567  0.85066608  0.35385752  1.22126412  0.          0.        ],"[[-1.77169843  1.95867808  1.70335442]
 [-2.48099237  2.14191643  2.1296812 ]]"
87,[ 0.28611522 -0.40913653  1.2100334   2.02127475  0.47251306  2.40448878 -0.42326592 -1.04847522  0.20849529  2.16841635 -2.70100842 -1.1090065  -0.15982096  0.18796929 -2.92397854 -0.61947172  1.72338641  0.          0.        ],"[[-1.82710508  2.10455688  1.97434001]
 [-2.89384409  1.74666032  2.27997841]]"
88,[-1.66262347 -0.89474198  1.48769449 -2.9505174  -0.92667919 -1.68856256  0.03969959 -2.85738747 -0.14726124  1.36741445 -2.04985316 -0.57521846 -1.96390894 -0.73670362 -2.18025757 -0.32794561  0.04834981  0.          0.        ],"[[-2.91953387  1.65326271  2.32381779]
 [-2.61742761  3.04909278  1.8955142 ]]"
89,[ 3.29296738 -1.49683441  1.90176689 -2.19464857  0.34745315 -0.71192949  0.52428287  0.97196771  1.19709589  1.78874213  2.04107456  0.66771058  2.27781569 -0.29674471  1.43040717  0.88575091  0.31434707  0.          0.        ],"[[-3.51889967  2.14725431  1.60475325]
 [-1.79662753  2.79006405  1.62744416]]"
90,[ 3.35485159 -0.45993367  1.25799487 -1.69798941  1.87484868  1.31043639 -1.2685879  -0.89454845  1.07536622  1.46196561 -1.02393461  0.33898333  1.16711686  0.58581269 -1.02937735  1.14524457  1.70654467  0.          0.        ],"[[-2.9709289   1.29695073  1.69572322]
 [-1.61056687  1.7120789   1.97721163]]"
91,[ 3.2886525   0.12728044  0.08384122  2.27718629  1.29169153  1.02541089  0.73961208  2.71391497 -0.64750631 -0.48334144 -0.06446813  0.44889705 -1.05026925 -0.50111853 -0.93795615  0.06526139  1.32290968  0.          0.        ],"[[-3.17114938  2.56015974  1.29114899]
 [-2.09092641  2.12564356  2.42113048]]"
92,[ 3.36811417 -0.92569181  1.98058813 -0.86340197 -0.65703764  1.40446663  0.47903751 -0.51148555 -0.20535643  0.46703141  1.95708734 -0.3171794   1.9354544   1.09569012  2.17840284  0.42390178 -0.08094966  0.          0.        ],"[[-3.75972897  1.88997934  1.50741046]
 [-1.60724919  2.31063552  1.62282205]]"
93,[-0.09617944 -0.70119226  1.12434775 -2.8718195  -1.03255859  2.29887094  1.54014187  0.9249558   0.49733657  0.24719208  2.89647028  0.56415391  2.41845639  0.47565734  1.01576294  0.26056263 -0.25841292  0.          0.        ],"[[-1.82403999  2.19500458  2.09401848]
 [-3.7306381   2.12240695  1.3902794 ]]"
94,[ 3.29333423 -1.17374099  1.79094314  2.5583123   1.35573003  1.43221876 -1.98047555  1.67286476  0.74841828  1.01686043  1.70245886  0.07507993 -1.08158249  1.10110205 -0.75977339  0.63977886  1.15758739  0.          0.        ],"[[-3.41732882  2.07171582  1.52535172]
 [-1.70399257  1.89662072  1.94825201]]"
95,[-1.26233829 -1.09312658  1.57401942 -2.22728706  0.60039708  2.34536637  2.02245729  0.26965458  1.01417711 -0.310013    1.87089606 -0.57584012 -0.0378109   1.28365033 -2.19725304  0.18897427  1.7798407   0.          0.        ],"[[-1.92209731  1.83164676  1.53141362]
 [-2.62929251  2.57052529  2.09754672]]"
96,[ 1.495752   -1.0287695   1.66632725  1.03744036  1.84531744 -0.96248128  0.99329404 -1.83888504  0.27420702  1.19301493  0.86363248 -1.67076235 -1.89473461 -0.86703294  1.10373041 -0.66794108 -0.06092065  0.          0.        ],"[[-1.97409627  1.920728    2.00803255]
 [-3.34752829  1.42852772  1.30576534]]"
97,[ 2.47457405 -0.4695818   1.8122954   0.83450595  0.17985485 -1.55694983  2.08029453  0.28190328 -0.22097846 -0.55205021  0.06396337 -0.11252174  2.35912472  0.53661616 -2.06629525 -0.56466997  0.63026576  0.          0.        ],"[[-3.43736477  1.84281874  1.32950106]
 [-1.85412426  1.26956134  1.89096172]]"
98,[ 0.84276274 -0.65411064  1.79583705 -2.04595413 -0.48503693 -0.17992372 -0.7534805   1.1741661   0.17316303  1.24333252  2.41154288 -0.17825567  2.3197777  -0.66969551  2.14650976  0.00932636  1.58049195  0.          0.        ],"[[-2.00507532  2.45838543  2.13258559]
 [-3.37317722  1.66529785  2.0431346 ]]"
99,[ 0.21099558 -0.65302863  1.96603374 -1.70975723  0.42709315 -0.46750795  0.06102888  2.37627599 -0.66368152  0.04467591 -1.13827027  0.46297825 -2.79628104  1.16979158  2.93898329  0.11820073  1.01305398  0.          0.        ],"[[-1.69464878  2.84985008  1.7382733 ]
 [-3.11083166  1.93138039  2.00847472]]"
100,[ 1.40648508 -0.50692084  0.86267598 -1.53147299  1.47335219 -1.95553638 -0.34037257 -2.52064345  0.67887755 -0.09075774 -1.7284236  -1.14642809  2.84068182  0.56519681 -2.59865192  0.25362374  1.28412443  0.          0.        ],"[[-3.47537811  2.49081593  1.61818241]
 [-1.90425432  1.59335515  2.04339571]]"
101,[ 1.13238996 -1.00565635  1.22981874 -0.31392819 -0.29386209  1.51997685 -0.19946208 -1.03842048  0.43685977 -0.22791882  1.93866432 -0.85631291  1.29002099  1.00632492  2.16438676  0.24083158  0.78604431  0.          0.        ],"[[-1.71756188  2.894892    1.6412793 ]
 [-2.89238236  1.26868433  2.05042183]]"
102,[ 2.82559345  0.09783152  0.23827419 -1.44998463  0.43684652 -2.00008459  1.30187648  2.76329093 -0.50448996  0.530375    1.36820164  0.57747626  0.74536459  1.20107541 -1.22375094 -0.71180879  1.98138782  0.          0.        ],"[[-3.36737116  2.33650357  2.11396778]
 [-1.99443408  2.10627378  2.16629791]]"
103,[ 2.83725121 -0.13932424  0.31787119 -2.85269733 -0.32289511  1.14182855 -0.56896233  2.21663272  0.17004934  1.27915551 -2.82615056  0.62965718  2.91544215  0.0829507   0.0556007   1.18131966 -0.28090085  0.          0.        ],"[[-3.33543643  2.20187027  2.38773721]
 [-1.55979764  1.52686866  1.65461566]]"
104,[ 0.20070512 -1.09193648  2.00624089 -0.84937204  1.02063459 -1.12460737  0.33554352  1.29909389  0.68743249  1.06794551 -0.21856535 -1.00216539  0.02726976  0.29310398  0.03646415  0.44681627 -0.55749598  0.          0.        ],"[[-1.97340881  2.59811     2.01948381]
 [-3.62783276  1.79871178  1.06293487]]"
105,[ 2.91625141 -1.26606556  1.55786257  0.83430264 -1.21105186 -1.52401484 -0.99365478  0.48713138  0.76044406  0.62440442 -2.48205324  0.71128728  2.44464191 -2.05475942 -0.08215646 -0.26227165  0.03786106  0.          0.        ],"[[-3.56908462  2.19183454  1.39526894]
 [-1.83967489  2.35776062  1.5173749 ]]"
106,[-0.42216574 -1.39013436  2.02835818  0.23492908 -1.19702812  1.25560698  1.81699936 -1.56553945 -0.10800369  1.37839328  1.6289361   0.58024125 -2.58642612  0.30937994 -0.02105858  1.10875832  1.07961312  0.          0.        ],"[[-1.64072057  1.79392496  1.45942526]
 [-3.60149059  1.84769099  1.56314034]]"
107,[ 3.36980232 -1.16626902  2.13330026 -2.53902169 -0.66322606  1.96633077  1.7265431   0.93735898  1.26824813  0.26371449 -1.77508738  0.7305514   1.118464   -0.22890813  1.03054806 -0.7233821   0.57620345  0.          0.        ],"[[-3.3959157   1.70730385  1.58084968]
 [-1.5535603   1.50812422  1.63610757]]"
108,[ 2.82102896 -0.84531919  1.953373    2.58783408 -1.07405814  1.77813194  1.58213808  1.65131221  0.72431426  0.42469756 -2.26322598 -0.465846    0.89822829 -0.19185269 -0.46243872  0.42241003  1.20637165  0.          0.        ],"[[-3.36450709  2.1859557   1.73670725]
 [-1.87123277  2.08489128  2.0614932 ]]"
109,[ 3.41550389 -0.30604953  1.3479562  -1.29599763  0.83061768 -2.25202572  0.58974527  2.80795481  0.22090571  1.01177031 -2.5769597  -0.38934513  2.24241594  0.9546607   0.8043617   0.21998625  0.60279777  0.          0.        ],"[[-3.24293633  1.26348212  2.08748467]
 [-1.5072223   1.753501    1.9191531 ]]"
110,[-0.06582783 -0.75771265  0.8159137   1.77459594  1.858901   -2.16062508  1.07286017  0.02743932 -0.13109692 -0.3338656   2.94749824 -0.62604505 -2.05283702 -0.38152829 -2.36499213  0.75811327  1.65844328  0.          0.        ],"[[-1.9871601   1.10586783  1.3794753 ]
 [-3.24952885  1.74330073  2.20838126]]"
111,[-0.07426416 -1.42073066  2.13359794 -2.09059866  0.32704514 -2.9234625  -1.13412763 -1.46934654 -0.30144466 -0.46895431 -1.43674007  1.72456337  2.07149538 -2.01061428  0.22085914 -0.74827373  0.34114185  0.          0.        ],"[[-1.41850193  1.98936069  1.17404715]
 [-3.24256426  2.42051339  1.35857472]]"
112,[-1.77256644 -1.18455323  1.50688049 -1.45116019  1.42037755  1.23203786  1.08687371  0.94666908  0.33354725 -0.57952461 -1.01208986  1.23194645  2.0762288   0.2010688   0.06621262 -0.11125461  0.59775858  0.          0.        ],"[[-1.84605917  1.80436455  1.31259366]
 [-1.83640282  2.02881828  1.95595164]]"
113,[-0.73401442  0.11961095  0.31182867  1.05951506 -0.74486812 -1.29173502 -0.51813326  0.56766655 -0.68748233  0.13736767  0.93380005  0.19321028  0.6337334  -0.13345293 -1.74493529  0.10379452  0.58547669  0.          0.        ],"[[-1.30319573  1.77743255  1.84565271]
 [-3.2850788   2.82048264  2.05294264]]"
114,[ 3.39390579 -0.7715675   1.40710627 -2.9152649  -0.97874489 -0.56587266  0.20445517  0.56193398  0.19723822  1.33057385  2.29857162 -1.11490422 -0.24076965 -1.28891313 -1.29732252  0.45557424 -0.48166474  0.          0.        ],"[[-2.71916176  2.18412437  2.35109682]
 [-1.78527779  1.48632329  1.75218092]]"
115,[-0.11901561 -0.91354784  2.3168527   2.65860126  0.44341129  1.34040908  0.73454029  1.8757247  -0.74745366 -0.75285227 -1.90925557 -0.36723996 -1.49663147 -0.70866387 -2.22756603 -0.72719971  0.71471237  0.          0.        ],"[[-1.48251559  1.69854979  1.21506267]
 [-3.46607775  2.44322017  1.70177538]]"
116,[ 0.89779113 -1.30745481  1.91213477  2.37125878  0.8034461   2.33753739  0.39333687  2.05222155  0.58642976 -0.63230176  1.68439396  0.26811891  2.19891886 -1.70189203  2.04405547  0.73468562  1.51099315  0.          0.        ],"[[-1.49369683  2.3367589   1.13590185]
 [-3.06924734  1.6461123   1.90713542]]"
117,[-0.17520703 -0.35473064  1.57928479 -2.61324157 -0.90557243 -2.42588872 -1.83063372 -2.15902884 -0.72639137 -0.70217821 -2.90221913  0.38857774 -2.13198743  0.68764118 -2.48696532  1.0473557   1.5965229   0.          0.        ],"[[-1.75290223  1.84010404  1.60232086]
 [-3.44991654  2.4402492   1.75962473]]"
118,[ 1.46127359 -1.3376293   1.74022278  1.48237265 -1.57942879 -1.15959712  1.00123212  0.54832042  0.90291429 -0.59896513 -1.1678834   0.49405814 -0.67935377  0.20557204  1.94540496  0.90555213  0.25208897  0.          0.        ],"[[-3.26184271  2.09805269  1.34188686]
 [-2.79399082  1.08488555  1.88128759]]"
119,[-1.66767238 -1.03495489  1.91536203 -1.6829807   1.94274272  2.60666442  0.73059302 -0.78353094  0.23524147 -0.09443118 -1.945226   -1.23437887 -0.33950572 -1.0467192   1.97724744 -0.03062777  1.58213744  0.          0.        ],"[[-1.72301625  2.15518088  1.44268063]
 [-2.99620496  2.40920038  1.99707689]]"
120,[ 2.69097651 -0.73741532  2.30771548  0.74278587 -1.4142168   1.97158158  0.60627037 -2.30703991  1.05464195 -0.5360277  -1.64276466 -1.19521995  1.53963866  1.89446978 -1.4227838   0.92465035  1.93808238  0.          0.        ],"[[-3.60437974  2.00819014  1.01338099]
 [-1.85905104  1.74921213  1.52586807]]"
121,[ 1.29312057 -0.81668175  2.34762477  0.82413127 -0.29008543  2.75915173 -0.98764962  2.33744467  1.01540135  0.88594276 -2.78395479  0.00733407  1.64150354 -0.77403929  2.43077347 -0.11052401  1.63966057  0.          0.        ],"[[-2.84361888  3.07618196  1.58357121]
 [-2.99001416  1.28020642  1.87744605]]"
122,[ 0.27762329 -0.56430569  1.21812016 -0.15363942 -0.35094724  2.50846912  0.21732935  1.65234023  0.93235629  2.27580343 -1.0059821   0.71505604 -2.71811929  1.04535331 -1.77902412 -0.38142303  2.01783775  0.          0.        ],"[[-1.63470092  2.08361568  1.7529179 ]
 [-3.26025979  2.16468341  2.17413129]]"
123,[-0.87660405 -1.230527    2.25111343  1.17212182 -1.28829371  2.35055913  0.35980525 -2.75835485  1.10836381 -0.44987758  1.77494034  1.11731002 -1.39467326  0.92593452 -1.33909319  1.04728361  1.32256083  0.          0.        ],"[[-1.55013654  1.67937449  1.17883174]
 [-3.46085741  2.22229681  1.52919304]]"
124,[-1.00353929 -0.24475772  0.97908877 -0.88878813 -0.76111096  1.54477234  1.25719185  0.09588043 -0.35638013  0.84964449 -0.71924765  0.78679425 -1.02637502  0.72358668  1.90528201  0.38480094  0.6025645   0.          0.        ],"[[-1.77728231  1.35423607  1.86181409]
 [-2.58858965  3.0742154   2.01336201]]"
125,[ 0.01648523 -0.88460905  1.42649808  0.32759928 -1.37760614 -0.65907365 -1.08632163  1.08298246  0.82686183 -0.41812125  0.12957528 -0.05773991 -2.47844962 -0.71705423  1.76907861  0.72139712  1.34653357  0.          0.        ],"[[-1.73129991  1.74031281  1.20501498]
 [-3.50350806  2.12290982  1.9907699 ]]"
126,[-2.09251058 -1.24744346  2.25812116  1.71472802  1.5619282   1.65263024 -1.26402218  1.43537151  1.1374272   1.66167451  2.5545975  -0.82500233  2.29641652  0.36193072  2.13286427 -0.05301719  0.41508197  0.          0.        ],"[[-3.40278519  1.90116597  1.41561604]
 [-1.79538797  2.36903163  2.01316044]]"
127,[ 2.47355115 -0.26503887  0.37230121  1.2343792  -0.06222198  0.1632006  -0.55765129 -1.32764896  0.247705    0.26459261 -2.02135793  0.85991062 -2.05192418  1.91158734 -2.49204687 -0.7296764   1.37115546  0.          0.        ],"[[-3.46279767  2.8193688   1.76799617]
 [-2.06507992  1.52053461  2.06382812]]"
128,[ 2.98126077 -0.96498106  1.60636031 -0.62328335  0.96799072  0.65018418 -1.02600599  2.46935147 -0.00538934  2.01354387 -1.44714721 -0.381204   -1.73271183 -0.01550426  2.8208312  -0.4193806   0.48510781  0.          0.        ],"[[-2.89480912  1.98292133  2.20662425]
 [-1.43487404  2.10999165  1.82413219]]"
129,[ 3.36520521 -0.71306241  1.32818114 -2.85183513 -0.40126961 -2.34703123  0.64110853 -1.82669458  0.44155547  1.59690449  0.82540883  1.20389949  1.88951644  0.03186845 -1.55144989 -0.33763733  2.08479915  0.          0.        ],"[[-3.23998219  1.97586901  2.26070201]
 [-2.26170084  2.52368719  2.1192084 ]]"
130,[ 3.2626582  -0.15271492  0.86875461  0.73003075  0.50065911 -2.6943266  -1.23074909  0.20380353 -0.64021981  1.64576845 -2.91951166 -0.46890065  1.57787821 -0.07045359 -0.21371072  0.41193275  1.52199588  0.          0.        ],"[[-2.83039025  1.94903434  2.28191846]
 [-1.91557706  2.10613391  2.28107477]]"
131,[ 0.8497148  -0.33026525  1.0068489   2.26393889  0.69714568 -1.30901542  0.72158867 -0.46267515 -0.23882107  0.74895163  0.75201745  0.88866938 -1.46298783  0.31615822  2.3423886  -0.71518758  1.66441005  0.          0.        ],"[[-1.76648948  2.8204435   1.83318436]
 [-2.94324305  1.55530876  2.28108812]]"
132,[ 0.48164607 -1.40514184  2.19157617 -2.78327639  0.3880382   1.5800838  -1.06632964 -1.47763517  0.60744227  1.65436891 -0.72940381  1.07469826 -1.30291773 -0.17050084  2.88442153  0.59160574  1.12145049  0.          0.        ],"[[-1.95967925  2.25683544  1.79302683]
 [-3.15901805  2.40873269  1.94819624]]"
133,[ 0.34224185 -0.42975805  1.92476117  0.7371061   0.18607388  2.15669112 -0.96857205  1.70313652  1.38690111  1.99385324  1.33713355  0.78505995 -1.28486619  0.1565626  -0.39282578 -0.48252222  0.59584486  0.          0.        ],"[[-1.75669094  2.62069853  1.71518487]
 [-3.28931318  1.46836181  1.80043548]]"
134,[ 2.21734421 -1.3411791   2.2029064  -1.53223831 -1.14925781  2.62560695 -0.76929903 -2.14174603 -0.77340463 -0.73250426 -2.5578191  -0.69148719  0.14132456  0.38000378 -1.53601267 -0.02733159  2.18579983  0.          0.        ],"[[-2.37959597  3.01137047  1.1294729 ]
 [-2.01025108  1.71856248  1.97987226]]"
135,[-0.47759328 -0.48052462  1.93168474  0.76824631  1.27372813 -0.84309069  1.37596212  0.02851714  0.83721142  1.10769769 -0.69441662  1.22214882  1.38664317 -0.95856154 -0.61428228 -0.25195044  0.5097646   0.          0.        ],"[[-2.04109294  1.79393083  2.01538354]
 [-2.82385986  2.80013299  2.03901515]]"
136,[ 0.68287746 -1.00461046  2.18523452  2.01041973  0.77012357  2.48391131 -0.59378328  0.65690704  1.01534858  1.13569054  2.9090096   0.38633145 -1.10017433 -0.26952954 -1.45291729  0.8263375  -0.45939321  0.          0.        ],"[[-1.67875265  2.02574673  1.61810503]
 [-3.37176132  1.26724193  1.39398109]]"
137,[-2.00731874 -0.32085631  0.83686032  0.74664779 -0.17891016  2.79744384  1.30922303  2.58785467 -0.04860891 -0.44615364 -1.31896752  0.49916672  0.1315082  -0.83476492 -0.06708829 -0.10766583  1.51908717  0.          0.        ],"[[-3.21362296  1.33605861  1.76631915]
 [-2.06560056  2.55872766  2.24389557]]"
138,[-0.12426662 -0.65505758  1.34496719 -0.98219591 -1.2016682  -1.82440602 -1.87918437 -2.15530282 -0.64293082  1.23224841  1.11219761  0.16472114  0.65100818  0.07436309 -2.6759908   1.02641825  0.85068335  0.          0.        ],"[[-1.85497162  2.15445372  1.62473055]
 [-3.43893285  1.96013721  2.03921811]]"
139,[-1.92643239 -0.82904141  1.8966413  -1.6801575  -0.39434017  1.96571572  1.37979039 -0.7056405   1.06155213  1.35648053 -0.66226971  0.85840573 -0.48103278  0.2813126   0.43624829  0.58435425  1.39877744  0.          0.        ],"[[-2.68462628  1.09082626  1.82238509]
 [-1.85753523  2.47882608  2.04350638]]"
140,[-2.2443791  -0.52764404  0.90468886  0.88980821  0.76598835 -1.79335229  0.61848345  0.90350143 -0.43563384  0.60447191 -2.53569909 -0.24267861  1.93718975  1.16822604  1.1273507   0.75486757 -0.09079836  0.          0.        ],"[[-3.36411098  1.42051958  2.09901465]
 [-1.74285469  2.65347306  1.83149087]]"
141,[ 2.2382499  -1.15231445  1.75887544 -1.47888932  0.77470899  0.17635722 -0.36352027 -2.76491078 -0.77989345  1.96189092 -2.77275438  1.53598823  2.00059372 -1.56732686  0.66515377  0.7990564   0.57282352  0.          0.        ],"[[-3.33808505  2.02909262  1.84294558]
 [-1.90056381  1.48880605  1.27895555]]"
142,[ 0.30568343 -1.1933444   1.72507546 -1.11002998 -0.75291188  1.48363123  1.12839424 -0.10228251 -0.42193709  0.79288572 -2.2832035  -0.87506185  1.36436524  0.94183726  0.48966495  0.77768365  0.40933597  0.          0.        ],"[[-1.55466914  2.29740187  1.64502633]
 [-3.20442556  1.34046175  1.91862213]]"
143,[-0.12993572 -0.7622057   0.99584574  0.49492125  0.09503425 -1.2369769  -0.90293177  2.94119423 -0.34134095  2.34074305 -2.79261296  0.86703573 -0.02601999 -0.90934024  1.52206016  1.3790186   0.93537581  0.          0.        ],"[[-1.91959503  1.80968757  2.13533301]
 [-3.40656703  2.49245972  1.52824102]]"
144,[ 3.16775595 -0.74846768  1.24737085  1.07922314 -1.49509435 -2.75839668 -0.08497932  1.74524387  1.16459116 -0.23493885 -2.31645531 -0.47310906  0.99190925 -0.71371703  1.45009705 -0.39551006  1.41883177  0.          0.        ],"[[-3.21357065  1.23926691  1.35040037]
 [-1.93387895  2.33763814  2.24973581]]"
145,[ 0.09474922 -1.18331465  1.53287062 -1.76423116 -0.75167485 -0.72413693 -1.46664336  1.29090673  0.30380202  2.21655455 -2.79311527 -0.38026773  0.37705653 -1.33416096 -2.05991553  0.33541671  0.53182138  0.          0.        ],"[[-1.9249263   1.69380304  1.97966733]
 [-2.9907912   2.27369883  2.0615501 ]]"
146,[-0.47188652 -1.16336119  2.27827978 -2.09899211  0.05598268 -2.90135875 -0.0639831  -1.87346865  0.56532312  0.68191021 -0.90121896 -0.55694608  1.58267322  0.88264017 -1.56264017  0.76983709  1.32427196  0.          0.        ],"[[-1.57709809  1.45681656  1.69999165]
 [-3.50295759  2.34246285  1.62456705]]"
147,[ 0.36361434 -0.14884987  0.61124955 -0.86284789 -1.44315769  2.01846554  0.70103439 -0.99586261 -0.55655468  0.2927665   2.37094985 -0.3832509   2.46669713 -0.2732914   2.7990919  -0.55674716  1.29960037  0.          0.        ],"[[-1.54992594  1.87448513  1.47568034]
 [-3.40120922  2.28552797  2.28563269]]"
148,[ 1.64400773 -0.4355665   0.82059697  1.59104313 -0.30163691  2.95508818 -0.17650527  2.23086287 -0.51891713  0.6053807  -1.76660864 -1.06989225 -0.2946334  -0.39681468 -1.48185011 -0.02369184  2.09468818  0.          0.        ],"[[-3.06464533  2.98105603  2.09023386]
 [-2.09864106  1.65346368  2.11819638]]"
149,[ 0.60776383 -0.40315834  1.94817459 -0.06939011 -0.43192333  1.83210567  0.94554361  1.28813765  0.11662051  1.94317641  2.26006457 -0.4348217  -1.76500636 -0.17813948 -1.74839044  0.75751352  1.34162636  0.          0.        ],"[[-2.10505523  2.61852425  1.76139514]
 [-3.44350167  1.82113016  1.92262764]]"
150,[-0.55832996 -1.06790884  1.75649286  2.62320843  0.22721004  2.26176297 -1.34302947  2.78008159 -0.29465742  1.78256032 -0.17822512 -1.27127673  2.27795135  1.04096305 -1.80067847  0.43279313  0.06330706  0.          0.        ],"[[-1.95307893  1.69092122  1.99449169]
 [-3.53902526  2.10656016  1.27923601]]"
151,[-1.04726174 -0.61246994  1.30005024  1.78947835  1.20307888 -1.70140869  0.61593699 -0.46176553  0.82425118  0.38109746 -0.62616609  1.03287197  2.82324365  0.6362757   0.41241285  0.19676461  1.06858993  0.          0.        ],"[[-2.79211951  1.01900004  1.62636763]
 [-2.25126427  2.23812076  2.32747425]]"
152,[ 2.37819905 -0.1578263   0.48495294  1.82182097 -0.17609234  2.80410116  0.66500555  1.77301288 -0.47857538  0.01225778  1.16147678 -0.69568013 -1.58514969 -1.18106343  0.05988552  0.0078444   0.72584394  0.          0.        ],"[[-3.61417619  2.62046723  1.81866295]
 [-1.94956146  1.25588019  1.98463729]]"
153,[ 3.00624105 -1.34080567  2.10148903 -0.12439129  0.12187327  2.09020531 -0.57753911 -1.8475062  -0.52127651  0.10980521 -1.41570703 -0.63657696  0.98759778  0.29350827 -1.51521242  1.34197984  1.72617036  0.          0.        ],"[[-3.71171213  1.98813067  1.61993258]
 [-1.68322735  2.41765996  1.60588072]]"
154,[-0.96936243 -0.89637066  1.2478613   1.18249577 -1.76956241 -2.69156404 -1.46121993  0.35446434  0.62350286  1.56450793 -1.84805736 -1.15437852  0.31470197  0.90885607  1.46774911  0.66141767 -0.70380439  0.          0.        ],"[[-1.84744419  1.93088973  1.7103676 ]
 [-3.55542388  2.03437966  1.61229116]]"
